id,year,text,category,proposer,outcome,outcome_date,Andrew,Bruce,Christine,Claude,David,Eileen,Gael,Iain,Jac,James F,James M,Kate,Lachy,Leslie,Pete,Rohan
2022-32,2022,Henry Cavill marries,entertainment,Jac,False,,0.55,0.6,0.1,,,0.2,0.5,0.4,0.2,,0.1,0.5,0.15,,0.5,0.4
2022-33,2022,"Daily COVID cases in Australia will reach 150,000 at least once",covid,Bruce,False,,0.1,0.2,0.01,,,0.1,0.6,0.9,0.05,,0.01,0.4,0.15,,0.9,0.9
2022-34,2022,More deaths will be attributed to Omicron by the WHO than all other covid variants combined,covid,Lachy,False,,0.3,0.1,0.8,,,0.1,0.75,0.4,0.001,,0.8,0.3,0.85,,0.5,0.7
2022-35,2022,The average number of covid vaccinations per person amongst members of Xmas eve 2022 will be > 3,covid,Lachy,True,,0.8,0.9,0.9,,,0.5,0.8,0.4,0.999,,0.9,0.9,0.85,,0.9,0.4
2022-36,2022,2 new variants of Covid will be invented/discovered during 2022,covid,Rohan,False,,0.3,0.3,0.8,,,0.3,0.85,0.9,0.001,,0.8,0.9,0.35,,0.9,0.4
2022-37,2022,"Tasmania will have experienced at least 10,000 new cases in 1 day",covid,Rohan,False,,0.15,0.1,0.05,,,0.1,0.45,0.3,0.001,,0.02,0.1,0.001,,0.5,0.55
2022-38,2022,WHO switches to another alphabet than the Greek alphabet for Covid variants,covid,Jac,False,,0.45,0.8,0.2,,,0.1,0.9,0.5,0.5,,0.2,0.9,0.15,,0.1,0.35
2022-39,2022,Lachy and Jac's extension will be completed,family,Iain,False,,0.7,0.8,0.1,,,0.5,0.4,0.8,0.5,,0.0,0.9,0.85,,0.5,0.15
2022-40,2022,Rohan will work for two different employers (not his own family members),family,Kate,False,,0.4,0.6,0.1,,,0.3,0.3,0.5,0.3,,0.1,0.6,0.15,,0.5,0.3
2022-41,2022,Kate will swim the Broulee Bay to Breakers in March 2022 and improve her position from 9th in the 40s women’s age group,family,Kate,True,,0.6,0.8,0.9,,,0.5,0.7,0.9,0.6,,0.9,0.2,0.85,,0.9,0.5
2022-42,2022,Rohan will be at least 6ft tall,family,Rohan,True,,0.5,0.9,0.9,,,0.4,0.001,0.9,0.99999,,0.9,0.9,0.999,,0.9,0.99
2022-43,2022,A participant in the prediction game will get a dog or another dog,family,Rohan,False,,0.5,0.95,0.1,,,0.1,0.75,0.9,0.2,,0.1,0.1,0.001,,0.5,0.25
2022-44,2022,There will be a flow of water into the Lake Eyre basin in 2022,nature,Pete,True,,0.75,0.8,0.5,,,0.5,0.7,0.3,0.8,,0.5,0.6,0.65,,0.9,0.5
2022-45,2022,Water from the Paroo will spill into the Darling in 2022,nature,Pete,True,,0.5,0.7,0.5,,,0.5,0.6,0.6,0.8,,0.5,0.6,0.5,,0.1,0.5
2022-46,2022,In the Antarctic the Thwaites Glacier ice-shelf will collapse in 2022,nature,Pete,False,,0.5,0.25,0.7,,,0.5,0.7,0.7,0.1,,0.7,0.2,0.35,,0.5,0.5
2022-47,2022,At least three quarters of the Great Barrier Reef will be bleached as a result of warming seas.,nature,Iain,False,,0.5,0.8,0.7,,,0.5,0.85,0.8,0.5,,0.7,0.7,0.35,,0.5,0.4
2022-48,2022,Sabine Hoffstader will release a Youtube video explaining that the nature of dark matter has been confirmed experimentally,nature,Lachy,False,,0.5,0.25,0.1,,,0.5,0.65,0.5,0.6,,0.1,0.5,0.001,,0.5,0.5
2022-49,2022,2022 will be the hottest year on record globally (via NASA),nature,Andrew,False,,0.3,0.45,0.95,,,0.3,0.82,0.8,0.2,,0.95,0.3,0.15,,0.6,0.4
2022-50,2022,"A cultivated chilli will replace the Carolina Reaper as the world’s hottest, as measured in scoville units (GWR seems to be the source of this currently)",nature,Eileen,False,,0.6,0.51,0.7,,,0.8,0.75,0.2,0.5,,0.7,0.8,0.65,,0.5,0.8
2022-51,2022,Christchurch will experience an earthquake of at least 4 on the Richter scale,nature,Eileen,False,,0.4,0.25,0.7,,,0.7,0.65,0.5,0.3,,0.7,0.4,0.65,,0.1,0.5
2022-52,2022,Pope Francis will condemn the metaverse or warn of its potential damage,society,Lachy,False,,0.6,0.2,0.3,,,0.5,0.8,0.9,0.5,,0.3,0.1,0.35,,0.5,0.2
2022-53,2022,The 4th most popular baby name for girls in Australia will be Isla according to the NSW Government popular baby names site,society,Gael,True,,0.35,0.4,0.5,,,0.1,0.9,0.8,0.2,,0.5,0.9,0.35,,0.1,0.8
2022-54,2022,The 4th most popular baby name for boys in Australia will be Leo according to the NSW Government popular baby names site,society,Gael,False,,0.35,0.4,0.5,,,0.1,0.9,0.7,0.2,,0.5,0.2,0.35,,0.1,0.2
2022-55,2022,A statue in Australia will be removed because of negative associations with its history or colonial ties.,society,Andrew,True,,0.2,0.9,0.8,,,0.2,0.6,0.8,0.4,,0.8,0.1,0.15,,0.7,0.6
2022-56,2022,Dave Chapelle’s special ‘The Closer’ will be available to watch on Netflix (Aus or US),society,Andrew,True,,0.8,0.6,0.5,,,0.8,0.5,0.6,0.6,,0.5,0.2,0.999,,0.5,0.5
2022-57,2022,An actor in a Disney film or TV show will have their contract ‘cancelled’ due to social pressure related to a social media post or opinion they have expressed publicly.,society,Andrew,False,,0.7,0.4,0.6,,,0.8,0.7,0.8,0.5,,0.6,0.8,0.65,,0.5,0.4
2022-58,2022,"An Australian company or department will mandate the inclusion or visibility of preferred gender pronouns, whether through an HR directory or email signatures.",society,Andrew,True,,0.65,0.95,0.6,,,0.8,0.75,0.5,0.5,,0.6,0.8,0.35,,0.5,0.4
2022-59,2022,More than 30% of Australians will have been born overseas (currently 29.8%),society,Andrew,False,,0.2,0.6,0.1,,,0.6,0.9,0.9,0.3,,0.1,0.2,0.65,,0.1,0.55
2022-60,2022,"LGBTIQ+ will be the acronym in widespread usage throughout Australia, as determined by the definition from LGBTIQ+ Health Australia (the peak body org for health and research related to that community)",society,Eileen,True,,0.45,0.7,0.5,,,0.7,0.75,0.7,0.9,,0.5,0.2,0.999,,0.5,0.3
2022-61,2022,"The meat industry in Australia and/or the US will succeed in controlling the use of ‘meat terms’ (meat, beef etc.) for non-animal protein products",society,Eileen,False,,0.35,0.6,0.2,,,0.6,0.74,0.8,0.1,,0.2,0.1,0.999,,0.8,0.5
2022-62,2022,"The median house price in Canberra will be over $1,200,000 (currently $1,015,833)",society,Eileen,False,,0.7,0.2,0.2,,,0.8,0.8,0.8,0.99999,,0.2,0.9,0.15,,0.6,0.45
2022-63,2022,An artist or band on the Rock and Roll Hall of Fame has a performance using digital avatar (source https://en.wikipedia.org/wiki/List_of_Rock_and_Roll_Hall_of_Fame_inductees),society,Jac,False,,0.4,0.6,0.7,,,0.3,0.6,0.5,0.6,,0.7,0.2,0.15,,0.1,0.5
2022-64,2022,No Australian tennis player will win a senior Championship event at the Australian Open in 2022,sport,Pete,,,0.0,0.0,0.0,,,0.0,0.0,0.6,0.0,,0.0,0.1,0.0,,0.5,0.2
2022-65,2022,Daniel Ricciardo will win the Australian GP in 2022.,sport,Pete,False,,0.5,0.1,0.5,,,0.5,0.6,0.3,0.2,,0.5,0.1,0.5,,0.1,0.1
2022-66,2022,Collingwood will make it into the top 8 at the end of the footy season,sport,Iain,True,,0.5,0.1,0.45,,,0.5,0.6,0.6,0.5,,0.45,0.7,0.5,,0.1,0.6
2022-67,2022,Italy will defeat Portugal in their qualifying match and reach the finals of the Football World Cup,sport,Gael,False,,0.5,0.6,0.7,,,0.5,0.85,0.5,0.05,,0.7,0.5,0.5,,0.9,0.8
2022-68,2022,Ash Barty will be world number 1 in the WRA rankings after the US Open,sport,Gael,False,,0.8,0.9,0.8,,,0.8,0.98,0.8,0.999,,0.8,0.9,0.5,,0.9,0.55
2022-69,2022,Neither Roger Federer nor Serena Williams will win a Grand Slam tennis tournament,sport,Bruce,True,,0.65,0.8,0.95,,,0.4,0.9,0.8,0.999,,0.95,0.8,0.85,,0.1,0.5
2022-70,2022,The Football World Cup will not go ahead on the scheduled dates in Qatar,sport,Bruce,True,,0.4,0.25,0.1,,,0.5,0.3,0.5,0.55,,0.1,0.1,0.65,,0.9,0.2
2022-71,2022,Lewis hamilton will win the 2022 world championship in Formula 1,sport,Rohan,False,,0.6,0.2,0.6,,,0.5,0.8,0.8,0.6,,0.6,0.8,0.35,,0.9,0.65
2022-72,2022,The Haas F1 team will score 0 points in the 2022 season,sport,Rohan,False,,0.5,0.7,0.5,,,0.5,0.5,0.3,0.5,,0.5,0.5,0.65,,0.1,0.6
2022-73,2022,ULA's vulcan centaur will launch succesfully (places a payload into orbit),technology,Lachy,False,,0.6,0.7,0.7,,,0.6,0.6,0.6,0.2,,0.7,0.4,0.85,,0.5,0.5
2022-74,2022,NASA will declare its Artemis 1 mission a success,technology,Lachy,True,,0.7,0.8,0.7,,,0.7,0.8,0.7,0.6,,0.7,0.5,0.65,,0.5,0.7
2022-75,2022,Starship/Superheavy will place Starship into a (partial) orbital trajectory,technology,Lachy,False,,0.65,0.6,0.6,,,0.65,0.5,0.7,0.5,,0.6,0.5,0.85,,0.5,0.5
2022-76,2022,James Webb telescope will deploy at L2 and 1 image from its Near-Infrared Camera (NIRCam) will be available on the internet for viewing by the public,technology,Lachy,True,,0.7,0.8,0.9,,,0.7,0.65,0.8,0.7,,0.9,0.5,0.999,,0.9,0.5
2022-77,2022,Facebook connect 2022 (or its 'meta' equivalent) will be hosted in virtual reality / a ('the'?) metaverse,technology,Lachy,False,,0.3,0.6,0.9,,,0.1,0.5,0.9,0.5,,0.9,0.2,0.35,,0.5,0.7
2022-78,2022,Apple will announce mixed reality glasses,technology,Lachy,False,,0.25,0.4,0.2,,,0.1,0.675,0.9,0.45,,0.2,0.7,0.35,,0.1,0.8
2022-79,2022,In-app purchases of Kindle books will be possible in the Kindle iphone app,technology,Lachy,False,,0.5,0.55,0.2,,,0.5,0.85,0.9,0.2,,0.2,0.8,0.15,,0.5,0.5
2022-80,2022,"It will be possible for at least one of the prediction participants to have food delivered by drone to their place of residence as a mainstream service, without it being part of a specific trial.",technology,Andrew,False,,0.2,0.3,0.1,,,0.1,0.65,0.4,0.5,,0.1,0.7,0.65,,0.9,0.65
2022-81,2022,"TMTG, the company that owns Trump’s “TRUTH Social” platform, will have a market cap of over $20 billion USD. (Twitter is around 35b)",technology,Andrew,False,,0.9,0.99,0.2,,,0.9,0.8,0.3,0.2,,0.2,0.1,0.15,,0.5,0.3
2022-82,2022,It will not be financially viable to mine ethereum using commercial GPUs.,technology,Andrew,True,,0.65,0.8,0.9,,,0.5,0.5,0.5,0.45,,0.9,0.8,0.85,,0.5,0.6
2022-83,2022,China will have more than 800 satellites in orbit (currently around 500),technology,Andrew,False,,0.4,0.65,0.05,,,0.2,0.85,0.7,0.001,,0.05,0.1,0.001,,0.5,0.65
2022-84,2022,Australia will be in the top 40 countries for broadband speed (as tracked in wiki page),technology,Andrew,False,,0.2,0.9,0.05,,,0.3,0.7,0.2,0.05,,0.05,0.7,0.15,,0.8,0.7
2022-85,2022,India will produce more total CO2 emissions than the US,technology,Andrew,False,,0.3,0.2,0.1,,,0.1,0.8,0.5,0.001,,0.1,0.8,0.35,,0.8,0.6
2022-86,2022,"The number of electric vehicles under $50K (excl on road costs) grows 67% or more in Australia, as listed on carsguide.com.au. Currently there are three cars: Hyundai Ioniq, Nissan Leaf and MG ZS EV",technology,Jac,False,,0.4,0.8,0.7,,,0.2,0.65,0.3,0.55,,0.7,0.9,0.35,,0.7,0.35
2022-87,2022,Boris Johnson will be replaced as Prime Minister by the Tory Party,politics,Gael,True,,0.85,0.8,0.3,,,0.8,0.85,0.4,0.1,,0.3,0.9,0.65,,0.9,0.5
2022-88,2022,Boris Johnson will be the Prime Minister of the UK,politics,Andrew,False,,0.15,0.2,0.7,,,0.2,0.25,0.6,0.85,,0.7,0.2,0.35,,0.1,0.4
2022-89,2022,At least some American states will resort to proclaimed and violent civil war rather that accept democratic elections,politics,Iain,False,,0.3,0.1,0.1,,,0.1,0.2,0.7,0.05,,0.1,0.1,0.001,,0.1,0.25
2022-90,2022,Democrats will lose control of the US House of Representatives at the midterm elections,politics,Bruce,True,,0.8,0.9,0.7,,,0.6,0.7,0.9,0.7,,0.7,0.8,0.999,,0.1,0.4
2022-91,2022,Democrats will not have control of the US Senate after the midterm election,politics,Bruce,False,,0.8,0.9,0.7,,,0.6,0.8,0.9,0.8,,0.7,0.8,0.999,,0.1,0.2
2022-92,2022,Donald Trump will recieve at least 1 vote in the selection of the Speaker of the US house of Representatives (Congress),politics,Lachy,False,,0.3,0.3,0.7,,,0.1,0.35,0.9,0.7,,0.7,0.9,0.65,,0.1,0.5
2022-93,2022,Donald Trump will release a book in 2022,politics,Rohan,False,,0.55,0.7,0.8,,,0.2,0.8,0.9,0.55,,0.8,0.9,0.15,,0.5,0.55
2022-94,2022,Trump will announce he will contest the Republican presidential candidacy and launch an NFT,politics,James M,True,,0.3,0.4,0.7,,,0.05,0.9,0.6,0.5,,0.7,0.2,0.001,,0.5,0.1
2022-95,2022,China will invade Taiwan,politics,Iain,False,,0.35,0.2,0.7,,,0.6,0.4,0.7,0.05,,0.7,0.2,0.001,,0.1,0.5
2022-96,2022,A nuclear weapon will be detonated for any purpose (including a test) somewhere on earth or in space,politics,Lachy,False,,0.1,0.4,0.1,,,0.2,0.7,0.8,0.3,,0.1,0.1,0.15,,0.5,0.6
2022-97,2022,Iran will announce it has produced a nuclear weapon,politics,Lachy,False,,0.45,0.3,0.1,,,0.2,0.7,0.6,0.3,,0.1,0.1,0.15,,0.5,0.6
2022-98,2022,One or more of the G12 member countries will have diplomatically recognised Taiwan,politics,Andrew,False,,0.15,0.2,0.1,,,0.2,0.75,0.4,0.3,,0.1,0.6,0.15,,0.5,0.6
2022-99,2022,"Russia will have invaded Ukraine (as reported by CNN, BBC, Guardian or NYT)",politics,Andrew,True,,0.6,0.4,0.95,,,0.8,0.7,0.8,0.8,,0.95,0.7,0.65,,0.1,0.6
2022-100,2022,The US will have gone to battle with China or Russia ( nuclear battle acceptable) agreed upon by at least half the people attending 2022 predictions,politics,Rohan,False,,0.3,0.1,0.1,,,0.1,0.6,0.5,0.1,,0.1,0.2,0.001,,0.1,0.2
2022-101,2022,There is an assassination attempt on Xi Jinping as reported in The Guardian,politics,Jac,False,,0.15,0.4,0.05,,,0.1,0.35,0.3,0.5,,0.05,0.1,0.001,,0.1,0.45
2022-102,2022,Bolsanaro wins the next Brazilian elections,politics,Jac,False,,0.4,0.3,0.4,,,0.4,0.75,0.8,0.3,,0.4,0.2,0.65,,0.1,0.6
2023-1,2023,Cate Blanchett will win best actress in the Academy Awards.,entertainment,Gael,False,,0.3,0.9,0.1,,,0.4,0.9,0.5,0.5,,0.5,0.8,0.5,,0.7,0.38
2023-2,2023,The farthest paper airplane flight will be broken (as reported by Guinness World Records),entertainment,Kate,True,,0.8,0.1,0.5,,,0.7,0.7,0.5,0.65,,0.5,0.8,0.5,,0.5,0.999
2023-3,2023,"Meghan and/or harry will post on social media content relating to the Coronation of King Charles III that, states or implies that Queen Elizabeth 2 'would have wanted them / is looking down from heaven wanting them' at the coronation, and/or describes a counter-ceremony with dubious historical precident performed by harry, meghan or their children to mark the occasion, and/or indicates that their presence at the coronation was prevented by 'deep palace' operatives or similar.",entertainment,Lachy,False,,0.45,0.1,0.2,,,0.4,0.5,0.4,0.52,,0.35,0.9,0.7,,0.3,0.5
2023-4,2023,There will be a scandal involving the BTS 10 year anniversary as reported by Korean MSM,entertainment,Eileen,False,,0.3,0.5,0.5,,,0.4,0.5,0.6,0.55,,0.1,0.5,0.6,,0.5,0.29
2023-5,2023,Twosetviolin (the Youtube channel) will make a video reporting fresh abuse from kpop fans (excluding Blackpink),entertainment,Eileen,False,,0.6,0.5,0.9,,,0.8,0.5,0.5,0.5,,0.4,0.5,0.5,,0.5,0.29
2023-6,2023,Lee Min-ho will be the most followed Korean actor on Instagram by the end of 2023,entertainment,Eileen,False,,0.7,0.5,0.7,,,0.7,0.6,0.5,0.52,,0.6,0.5,0.5,,0.5,0.2
2023-7,2023,LOONA will disband,entertainment,Eileen,True,,0.55,0.8,0.9,,,0.4,0.6,0.6,0.85,,0.6,0.5,0.5,,0.5,0.55
2023-8,2023,A new Korean show will get more than 140 million household views on Netflix,entertainment,Eileen,False,,0.4,0.5,0.9,,,0.7,0.7,0.7,0.1,,0.3,0.2,0.7,,0.4,0.4
2023-9,2023,Avatar The Way of Water will remain at 8.0 on IMDb by Christmas next year.,entertainment,Rohan,False,,0.15,0.3,0.7,,,0.3,0.5,0.4,0.1,,0.01,0.3,0.4,,0.5,0.05
2023-10,2023,Kanye West will have 0 twitter suspensions or bans.,entertainment,Rohan,False,,0.05,0.7,0.8,,,0.2,0.4,0.1,0.55,,0.5,0.9,0.5,,0.5,0.99
2023-11,2023,"At either the Grammys, the Oscars, the Emmys or the game awards there will be a significant interruption comparable to the Will Smith Chris Rock slap or the game awards Bill Clinton kid.",entertainment,Rohan,False,,0.7,0.2,0.1,,,0.4,0.3,0.1,0.35,,0.3,0.8,0.1,,0.3,0.15
2023-12,2023,Francis will be the Pope on Christmas eve,entertainment,Pete,True,,0.6,0.9,0.5,,,0.2,0.7,0.7,0.4,,0.7,0.9,0.8,,0.4,0.75
2023-13,2023,Rohan will not test positive for COVID in 2023,family,Kate,True,,0.4,0.6,0.5,,,0.4,0.8,0.6,0.6,,0.7,0.7,0.6,,0.8,0.9
2023-14,2023,Baby McCalman is less than 49cm at birth,family,James M,True,,0.55,0.85,0.3,,,0.6,0.6,0.5,0.5,,0.7,0.8,0.5,,0.7,0.4
2023-15,2023,Jac and Lachy’s baby will say ‘ma’ or make a similar ‘m’ sound by 24 December 2023.,family,Christine,True,,0.25,0.8,0.8,,,0.7,0.8,0.8,0.7,,0.3,0.4,0.7,,0.8,0.85
2023-16,2023,"Rohan will be at least 6'1""",family,Andrew,False,,0.2,0.1,0.7,,,0.3,0.4,0.6,0.35,,0.5,0.3,0.3,,0.7,0.45
2023-17,2023,Andrew and Eileen will buy a house,family,Iain,True,,0.99,0.7,0.5,,,0.99,0.7,0.7,0.7,,0.5,0.9,0.9,,0.5,0.65
2023-18,2023,Lachy and Jac’s baby will be at least 68 cm by next Christmas.,family,Rohan,False,,0.55,0.6,0.8,,,0.45,0.7,0.4,0.85,,0.5,0.6,0.5,,0.8,0.55
2023-19,2023,The annual inflation rate in Australia will be below 6% when the RBA releases its announcement of the October 2023 result,finance,Bruce,True,,0.3,0.75,0.5,,,0.7,0.7,0.2,0.9,,0.5,0.4,0.7,,0.5,0.5
2023-20,2023,AUD falls below USD0.64,finance,James M,True,,0.64,0.25,0.5,,,0.65,0.7,0.5,0.35,,0.5,0.5,0.5,,0.5,0.5
2023-21,2023,Pro-GOP investor makes a meaningful (>US$100m) investment in Twitter,finance,James M,False,,0.55,0.3,0.5,,,0.3,0.7,0.3,0.15,,0.6,0.6,0.3,,0.5,0.47
2023-22,2023,The Australian unemployment rate will be more than 4% at time of judging,finance,Andrew,False,,0.3,0.7,0.5,,,0.35,0.6,0.6,0.3,,0.6,0.3,0.2,,0.3,0.3
2023-23,2023,Binance will collapse slash go into bankruptcy,finance,Lachy,False,,0.6,0.2,0.7,,,0.6,0.5,0.7,0.9,,0.7,0.5,0.4,,0.5,0.51
2023-24,2023,Telsa will remain solvent and operating,finance,Pete,True,,0.85,0.99,0.7,,,0.8,0.8,0.6,0.85,,0.9,0.8,0.7,,0.9,0.95
2023-25,2023,At least three class action proceedings (or equivalent eg. aggregate litigation) will be filed around the world against Elon Musk or Tesla about the self-driving technology in Tesla cars,law,Jac,False,,0.45,0.9,0.7,,,0.4,0.7,0.6,0.9,,0.6,0.6,0.5,,0.6,0.51
2023-26,2023,The case against David McBride will be dropped,law,Jac,False,,0.15,0.3,0.5,,,0.3,0.8,0.4,0.1,,0.4,0.6,0.2,,0.8,0.47
2023-27,2023,"In FY19, there were 58 class actions filed. In FY20, there were 55 class actions filed. In FY21, there were 64 class actions filed. In FY22, there were 54 class actions filed. In FY23, there will be more than 64 class actions filed. (In the first 9 months of CY22, there were 25 class action filings.)",law,Christine,False,,0.45,0.4,0.7,,,0.45,0.8,0.6,0.55,,0.6,0.3,0.6,,0.5,0.4
2023-28,2023,The New Zealand National party will form government after the next election.,politics,Gael,True,,0.35,0.7,0.5,,,0.45,0.8,0.6,0.2,,0.5,0.3,0.7,,0.05,0.01
2023-29,2023,The British Labour Party will be ahead in the polls in November 2023.,politics,Gael,True,,0.7,0.8,0.5,,,0.7,0.9,0.6,0.65,,0.5,0.7,0.3,,0.7,0.55
2023-30,2023,Liz Cheney will not nominate for the presidency in 2023.,politics,Gael,True,,0.55,0.8,0.5,,,0.45,0.9,0.6,0.65,,0.6,0.8,0.8,,0.3,0.4
2023-31,2023,China will eliminate at least one existing trade sanction against Australia,politics,Bruce,True,,0.4,0.9,0.5,,,0.2,0.9,0.7,0.2,,0.5,0.6,0.4,,0.6,0.5
2023-32,2023,China will not be admitted to full membership of the Comprehensive and Progressive Agreement for Trans-Pacific Partnership,politics,Bruce,True,,0.6,0.95,0.7,,,0.4,0.4,0.5,0.7,,0.7,0.8,0.8,,0.4,0.49
2023-33,2023,Henry Kissinger will die,politics,Kate,True,,0.33,0.7,0.7,,,0.3,0.9,0.3,0.5,,0.6,0.9,0.5,,0.7,0.6
